"","timestamp","bean_kind","extract_age","alcohol_ratio","alcohol_heated","split","oak_finish","flavor","smell_boozy","smell_vanilla","color","use_again"
"160","4/6/2021 10:02","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","no","Part of the beans were split","No",3,2,3,5,"Yes"
"161","4/6/2021 12:35","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",4,5,5,5,"Yes"
"162","4/7/2021 14:03","Sri Lankan","","Single Fold (About 1 oz beans to about 1 cup of alcohol)","no","None of the beans were split","No",4,4,4,4,"Yes"
"163","4/8/2021 20:48","Papua New Guinea V. planifolia","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,5,4,"Yes"
"164","4/13/2021 17:59","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","",5,5,4,4,"Yes"
"165","4/18/2021 9:58","Indonesian","3-6 months","Triple Fold (About 3 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,4,5,5,"Yes"
"166","4/21/2021 15:08","Madagascar Bourbon Cure","1-3 months","Triple Fold (About 3 oz beans to about 1 cup of alcohol)","Alcohol was not heated","None of the beans were split","It is still extracting",1,1,2,2,"Yes"
"167","4/21/2021 15:21","All these are mixed beans that are from on going extractions mostly Madagascar Bourbon Cure but some Indonesian and Papua New Guinea I have scraped of caviar and added to 8 ounces vodka","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No not heated","Yes, all the beans were split","It is not done",4,4,5,4,"Yes"
"168","4/23/2021 21:59","Papua New Guinea V. planifolia","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,4,4,4,"Yes"
"169","5/11/2021 15:28","Indonesian","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,NA,NA,"Yes"
"170","5/11/2021 15:36","Madagascar Bourbon Cure","","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,NA,NA,"Yes"
"171","5/11/2021 15:41","Tahitian","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,NA,NA,"Yes"
"172","5/11/2021 15:43","Madagascar bought 30 years ago","","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,1,5,NA,"Yes"
"173","5/13/2021 8:47","I don't remember","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","","Yes, all the beans were split","No",4,5,5,4,"Yes"
"174","5/13/2021 13:21","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","yes","Yes, all the beans were split","No",4,2,4,4,"Yes"
"175","6/2/2021 20:55","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","NO","Yes, all the beans were split","No",4,2,4,5,"Yes"
"176","6/3/2021 7:36","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",3,3,3,2,"Yes"
"177","6/4/2021 2:51","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",5,5,5,5,"Yes"
"178","6/4/2021 6:23","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,4,5,5,"Yes"
"179","6/4/2021 6:24","V. tahitensis Papua New Guinea","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,2,3,4,"Yes"
"180","6/7/2021 19:47","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","144 hours 125 *F in two segments of 72 hours","Yes, all the beans were split","No",3,4,4,5,"Yes"
"181","7/18/2021 14:28","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",4,5,5,5,"Yes"
"182","7/20/2021 13:40","Indonesian","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
"183","7/20/2021 13:41","Indonesian","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
